event layer r x y z hbarcode barcode charge pt d0
0 0 287.909 265.05 112.429 59.1015 740 10001 -1 10000 -0.0133555
0 0 290.635 262.492 124.767 77.6515 467 10001 -1 10000 -0.0133555
0 0 292.516 260.959 132.16 52.7515 10001 10001 -1 10000 -0.0133555
0 0 293.804 259.986 136.85 78.2165 9223372036854775807 10001 -1 10000 -0.0133555
0 0 294.793 259.274 140.287 51.0015 9223372036854775807 10001 -1 10000 -0.0133555
0 0 294.976 259.145 140.907 60.4932 9223372036854775807 10001 -1 10000 -0.0133555
0 0 296.018 258.428 144.367 63.0098 906 10001 -1 10000 -0.0133555
0 0 287.812 265.151 111.94 97.1525 9223372036854775807 10001 -1 10000 -0.0133555
0 0 289.563 263.441 120.189 88.19 9223372036854775807 10001 -1 10000 -0.0133555
0 0 289.601 263.405 120.361 107.603 200067 10001 -1 10000 -0.0133555
0 0 290.254 262.821 123.176 115.177 915 10001 -1 10000 -0.0133555
0 0 290.497 262.61 124.196 84.4442 9223372036854775807 10001 -1 10000 -0.0133555
0 0 291.184 262.028 127.003 114.661 9223372036854775807 10001 -1 10000 -0.0133555
0 0 292.16 261.238 130.813 97.1775 1672 10001 -1 10000 -0.0133555
0 0 292.77 260.762 133.106 108.994 200083 10001 -1 10000 -0.0133555
0 0 292.958 260.619 133.8 87.8275 234 10001 -1 10000 -0.0133555
0 0 292.974 260.607 133.857 82.0942 9223372036854775807 10001 -1 10000 -0.0133555
0 0 292.965 260.614 133.824 87.8525 234 10001 -1 10000 -0.0133555
0 0 292.978 260.603 133.873 82.1025 9223372036854775807 10001 -1 10000 -0.0133555
0 0 296.139 258.346 144.76 106.509 9223372036854775807 10001 -1 10000 -0.0133555
0 0 289.23 263.748 118.706 141.738 9223372036854775807 10001 -1 10000 -0.0133555
0 0 290.93 262.241 125.977 156.943 9223372036854775807 10001 -1 10000 -0.0133555
0 0 292.312 261.118 131.393 162.529 969 10001 -1 10000 -0.0133555
0 0 294.051 259.806 137.721 149.919 971 10001 -1 10000 -0.0133555
0 0 294.191 259.704 138.211 127.799 9223372036854775807 10001 -1 10000 -0.0133555
0 0 294.246 259.664 138.402 132.403 9223372036854775807 10001 -1 10000 -0.0133555
0 0 295.841 258.548 143.787 150.079 9223372036854775807 10001 -1 10000 -0.0133555
0 0 296.148 258.34 144.791 160.454 9223372036854775807 10001 -1 10000 -0.0133555
0 0 287.696 265.273 111.352 167.979 1136 10001 -1 10000 -0.0133555
0 0 288.136 264.816 113.555 171.071 9223372036854775807 10001 -1 10000 -0.0133555
0 0 288.221 264.73 113.972 189.18 684 10001 -1 10000 -0.0133555
0 0 288.552 264.4 115.563 168.979 1649 10001 -1 10000 -0.0133555
0 0 289.59 263.415 120.312 201.871 9223372036854775807 10001 -1 10000 -0.0133555
0 0 290.564 262.552 124.473 185.479 907 10001 -1 10000 -0.0133555
0 0 290.635 262.492 124.767 176.604 9223372036854775807 10001 -1 10000 -0.0133555
0 0 292.405 261.045 131.744 168.779 1424 10001 -1 10000 -0.0133555
0 0 290.283 262.796 123.298 235.981 200115 10001 -1 10000 -0.0133555
0 0 292.192 261.212 130.936 236.355 9223372036854775807 10001 -1 10000 -0.0133555
0 0 293.018 260.573 134.02 230.635 9223372036854775807 10001 -1 10000 -0.0133555
0 0 293.901 259.915 137.194 206.906 9223372036854775807 10001 -1 10000 -0.0133555
0 0 288.896 249.285 146.007 -109.628 182 10001 -1 10000 -0.0133555
0 0 289.214 248.823 147.417 -94.7108 200020 10001 -1 10000 -0.0133555
0 0 289.485 248.436 148.597 -102.652 815 10001 -1 10000 -0.0133555
0 0 289.668 248.179 149.381 -106.952 122 10001 -1 10000 -0.0133555
0 0 290.958 246.451 154.655 -82.7525 9223372036854775807 10001 -1 10000 -0.0133555
0 0 292.592 244.43 160.822 -82.2675 9223372036854775807 10001 -1 10000 -0.0133555
0 0 292.59 244.432 160.816 -82.1942 9223372036854775807 10001 -1 10000 -0.0133555
0 0 292.595 244.427 160.832 -82.2525 9223372036854775807 10001 -1 10000 -0.0133555
0 0 288.964 249.186 146.308 -58.0932 9223372036854775807 10001 -1 10000 -0.0133555
0 0 289.341 248.641 147.971 -64.6598 781 10001 -1 10000 -0.0133555
0 0 289.441 248.499 148.407 -73.4265 920 10001 -1 10000 -0.0133555
0 0 291.534 245.719 156.888 -61.1515 200067 10001 -1 10000 -0.0133555
0 0 295.241 241.455 169.901 -47.7327 9223372036854775807 10001 -1 10000 -0.0133555
0 0 287.052 252.217 137.059 1.0245 9223372036854775807 10001 -1 10000 -0.0133555
0 0 287.057 252.208 137.087 0.962 9223372036854775807 10001 -1 10000 -0.0133555
0 0 287.162 252.027 137.64 -7.23106 9223372036854775807 10001 -1 10000 -0.0133555
0 0 290.635 246.872 153.372 -12.7505 28 10001 -1 10000 -0.0133555
0 0 290.93 246.488 154.544 -12.2088 481 10001 -1 10000 -0.0133555
0 0 291.486 245.78 156.705 -12.7326 9223372036854775807 10001 -1 10000 -0.0133555
0 0 292.457 244.591 160.333 -37.0755 9223372036854775807 10001 -1 10000 -0.0133555
0 0 295.633 241.04 171.169 -33.7811 9223372036854775807 10001 -1 10000 -0.0133555
0 0 288.307 250.172 143.299 3.3255 200453 10001 -1 10000 -0.0133555
0 0 288.917 249.255 146.098 18.1073 9223372036854775807 10001 -1 10000 -0.0133555
0 0 291.336 245.969 156.128 18.6005 9223372036854775807 10001 -1 10000 -0.0133555
0 0 291.634 245.595 157.268 42.1255 9223372036854775807 10001 -1 10000 -0.0133555
0 0 293.301 243.602 163.35 28.638 9223372036854775807 10001 -1 10000 -0.0133555
0 0 293.669 243.182 164.633 12.3255 392 10001 -1 10000 -0.0133555
0 0 293.71 243.135 164.776 12.3255 392 10001 -1 10000 -0.0133555
0 0 295.399 241.287 170.414 21.6588 743 10001 -1 10000 -0.0133555
0 0 296.058 240.597 172.52 21.2005 757 10001 -1 10000 -0.0133555
